checkpoint,method,sector_code,sector_name,action,momentum_strong,mom_score,mom_rank,mom_percentile,eligible
2024-05-31,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2024-05-31,hybrid_return_rank_v1,5046,KRX 미디어통신,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2024-05-31,hybrid_return_rank_v1,5048,KRX 에너지화학,Avoid,False,0.09090909090909091,11.0,9.090909090909092,True
2024-05-31,hybrid_return_rank_v1,5049,KRX 철강,Avoid,False,0.18181818181818182,10.0,18.181818181818183,True
2024-06-28,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2024-06-28,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2024-06-28,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2024-06-28,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2024-06-28,legacy_rs_ma_v0,5045,KRX 헬스케어,Avoid,False,,,,True
2024-06-28,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2024-06-28,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Strong Buy,True,,,,True
2024-06-28,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Strong Buy,True,,,,True
2024-06-28,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2024-06-28,legacy_rs_ma_v0,5048,KRX 에너지화학,Avoid,False,,,,True
2024-06-28,legacy_rs_ma_v0,5049,KRX 철강,Avoid,False,,,,True
2024-06-28,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Hold,False,0.5909090909090909,4.0,59.09090909090909,True
2024-06-28,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.3181818181818182,9.0,31.818181818181817,True
2024-06-28,hybrid_return_rank_v1,5042,KRX 산업재,Hold,False,0.5,7.0,50.0,True
2024-06-28,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,1.0,1.0,100.0,True
2024-06-28,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.5909090909090909,4.0,59.09090909090909,True
2024-06-28,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.5909090909090908,6.0,59.09090909090908,True
2024-06-28,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.45454545454545453,8.0,45.45454545454545,True
2024-06-28,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Strong Buy,True,0.7727272727272727,3.0,77.27272727272727,True
2024-06-28,hybrid_return_rank_v1,5046,KRX 미디어통신,Strong Buy,True,0.9090909090909091,2.0,90.9090909090909,True
